course_slug,course_title,review_count,avg_rating,avg_norm_rating,avg_sentiment,median_weeks_ago,trend_score,recent_share,course_badge,skill_level,discount_price_vnd,original_price_vnd,discount_pct,num_students,content_hours,lecture_count,price_per_hour,students_per_hour,students_per_lecture,reviews_per_student,discount_price_per_student,recent_reviews_est,trend_per_review,rating_vs_catalog,reviews_per_hour,recent_reviews_density,rating_to_price_ratio
agentic-ai-for-automation-multi-agent-autogen,Learn Agentic AI – Build Multi-Agent Automation Workflows,69,4.6231884057971016,0.9246376811594202,1.0,4.345,-1.7201494052766286,0.36231884057971014,Bestseller,All levels,309000.0,1119000.0,0.7238605898123325,8065.0,9.0,65.0,34333.333333333336,896.1111111111111,124.0769230769231,0.008555486670799752,38.313701177929325,25.0,-0.024929701164448224,0.04954163808909051,7.666666666666667,2.7777777777777777,1.49617747760424e-05
ai-agents-automation-business-with-langchain-llm-apps,AI-Agents: Automation & Business with LangChain & LLM Apps,519,4.559730250481696,0.9119460500963391,0.9248554913294798,30.415,-0.46281589519907523,0.019267822736030827,Bestseller,All levels,289000.0,399000.0,0.2756892230576441,24309.0,10.0,80.0,28900.0,2430.9,303.8625,0.0213501172405282,11.88860092969682,10.0,-0.0008917454610931209,-0.01391651722631515,51.9,1.0,1.5777613323466075e-05
ai-agents-building-teams-of-llm-agents-that-work-for-you,AI Agents: Building Teams of LLM Agents that Work For You,357,4.488795518207283,0.8977591036414566,0.7759103641456583,4.345,0.22268499889369042,0.29411764705882354,No badge,All levels,299000.0,1189000.0,0.7485281749369217,14641.0,9.0,49.0,33222.22222222222,1626.7777777777776,298.7959183673469,0.024383580356533024,20.422102315415614,105.0,0.0006237675021566469,-0.08485124950072809,39.666666666666664,11.666666666666666,1.5012694040827033e-05
ai-agents-workflows-the-practical-guide,AI Agents & Workflows - The Practical Guide,171,4.640350877192983,0.9280701754385964,1.0292397660818713,8.69,-9.696938651495326,0.21637426900584794,Bestseller,All levels,299000.0,1099000.0,0.7279344858962693,10091.0,4.0,58.0,74750.0,2522.75,173.98275862068965,0.01694579328114161,29.630363690417205,37.0,-0.056707243244374754,0.06670410948497185,42.75,9.25,1.55195681511471e-05
ai-automation-build-llm-apps-ai-agents-with-n8n-apis,AI Automation: Build LLM Apps & AI-Agents with n8n & APIs,814,4.722972972972973,0.9445945945945946,0.9373464373464373,13.035,-5.32161828164306,0.09090909090909091,Bestseller,All levels,319000.0,429000.0,0.2564102564102564,38324.0,14.0,91.0,22785.714285714286,2737.4285714285716,421.14285714285717,0.02123995407577497,8.323765786452354,74.0,-0.0065376145885816285,0.14932620526496176,58.142857142857146,5.285714285714286,1.4805557909006184e-05
aws-certified-machine-learning-engineer-associate-mla-c01,AWS Certified Machine Learning Engineer Associate: Hands On!,321,4.311526479750778,0.8623052959501558,0.8629283489096573,30.415,-0.39198681831427346,0.08099688473520249,Bestseller,All levels,319000.0,1309000.0,0.7563025210084033,35198.0,23.0,295.0,13869.565217391304,1530.3478260869565,119.31525423728814,0.009119836354338315,9.063014944030911,26.0,-0.0012211427323773542,-0.26212028795723263,13.956521739130435,1.1304347826086956,1.3515756989814352e-05
aws-machine-learning-practice-exam,AWS Certified Machine Learning Specialty Full Practice Exam,250,4.034,0.8068,0.672,208.0,-0.14626626209959132,0.004,Bestseller,Expert,299000.0,839000.0,0.6436233611442193,17808.0,,,,,,0.01403863432165319,16.790206648697215,1.0,-0.0005850650460581051,-0.5396467677080112,,,1.3491638795986622e-05
complete-ai-guide,"The Complete AI Guide: Learn ChatGPT, Generative AI & More",4524,4.499778956675509,0.8999557913351017,0.8726790450928382,52.0,-9.35560956443539,0.028514588859416445,Bestseller,All levels,349000.0,1909000.0,0.8171817705605029,306022.0,39.0,521.0,8948.71794871795,7846.717948717948,587.3742802303263,0.0147832508773879,1.1404408833351851,129.0,-0.002067995040311095,-0.0738678110325024,116.0,3.3076923076923075,1.2893349446061629e-05
complete-machine-learning-nlp-bootcamp-mlops-deployment,"Complete Data Science,Machine Learning,DL,NLP Bootcamp",1812,4.525386313465783,0.9050772626931567,0.8338852097130243,34.76,-2.775156148677427,0.04746136865342163,Bestseller,All levels,339000.0,1499000.0,0.7738492328218813,107007.0,99.0,429.0,3424.242424242424,1080.878787878788,249.43356643356643,0.01693347164204211,3.1680170456138383,86.0,-0.0015315431275639536,-0.0482604542422278,18.303030303030305,0.8686868686868687,1.334922216361588e-05
complete-mlops-bootcamp-with-10-end-to-end-ml-projects,Complete MLOps Bootcamp With 10+ End To End ML Projects,284,4.389084507042254,0.8778169014084507,0.7288732394366197,26.07,-0.5809094029376923,0.045774647887323945,Bestseller,All levels,279000.0,1179000.0,0.7633587786259541,27868.0,50.0,180.0,5580.0,557.36,154.82222222222222,0.010190899956939859,10.011482704176833,13.0,-0.0020454556369444953,-0.1845622606657571,5.68,0.26,1.5731485688323492e-05
data-science-ai-masters-from-python-to-gen-ai,Data Science & AI Masters 2025 - From Python To Gen AI,296,4.72972972972973,0.9459459459459459,1.1756756756756757,13.035,-0.9849346225465596,0.17567567567567569,Bestseller,All levels,309000.0,1239000.0,0.7506053268765134,17581.0,98.0,519.0,3153.061224489796,179.39795918367346,33.8747591522158,0.0168363574313179,17.57579204823389,52.0,-0.0033274818216860735,0.15608296202171879,3.020408163265306,0.5306122448979592,1.530656870462696e-05
executive-briefing-generative-ai-and-large-language-models-llm,Generative AI 2025 Executive Briefing: LLMs for Leaders,215,4.844186046511628,0.9688372093023256,1.4186046511627908,8.69,-2.202417682373232,0.20930232558139536,Bestseller,All levels,289000.0,679000.0,0.5743740795287187,5093.0,3.0,15.0,96333.33333333333,1697.6666666666667,339.53333333333336,0.042214804633811116,56.74455134498331,45.0,-0.010243803126183391,0.27053927880361694,71.66666666666667,15.0,1.6761889434296292e-05
generative-ai-for-data,Generative AI for Data Engineering and Data Professionals,78,4.532051282051282,0.9064102564102564,1.1666666666666667,17.38,0.1690156683049045,0.0,No badge,All levels,399000.0,279000.0,0.0,5283.0,5.0,57.0,79800.0,1056.6,92.6842105263158,0.014764338444065871,75.52526973310619,0.0,0.002166867514590218,-0.0415954856567291,15.6,0.0,1.1358524516419253e-05
