course_title,trend_score,trend_per_review,recent_share,recent_reviews_est
AI Agents: Building Teams of LLM Agents that Work For You,0.22268499889369042,0.0006237675021566469,0.29411764705882354,105.0
Generative AI for Data Engineering and Data Professionals,0.1690156683049045,0.002166867514590218,0.0,0.0
Introduction to Data Engineering using Generative AI,-0.03186390337403254,-0.0003251418678458232,0.05102040816326531,5.0
AWS Certified Machine Learning Specialty Full Practice Exam,-0.14626626209959132,-0.0005850650460581051,0.004,1.0
"The Complete AI Coding Course (2025) - Cursor, Claude Code",-0.2720768886230205,-0.0024292579124443087,0.16964285714285715,19.0
AWS Certified Machine Learning Engineer Associate: Hands On!,-0.39198681831427346,-0.0012211427323773542,0.08099688473520249,26.0
[NEW] Google Cloud Generative AI Leader - 6 Full Mock Exams,-0.44062988790512597,-0.003611720363060702,0.3162393162393162,38.58119658119658
AI-Agents: Automation & Business with LangChain & LLM Apps,-0.46281589519907523,-0.0008917454610931209,0.019267822736030827,10.0
LangGraph- Develop LLM powered AI agents with LangGraph,-0.46522393842200294,-0.0018988732102984886,0.036734693877551024,9.0
Complete MLOps Bootcamp With 10+ End To End ML Projects,-0.5809094029376923,-0.0020454556369444953,0.045774647887323945,13.0
